day,I_true,I_observed_noisy,NLS_fitted,EKF_fitted,EINN_fitted_seed1
92.0,1034.8086713503699,1126.9694714774528,22.31864272001833,1143.5373308811902,1018.5177739424577
93.0,1020.268574653725,1124.643005387616,22.951566798871003,1137.3318626495,937.5026925528952
94.0,1005.9239284486471,1037.3473210750317,23.602436950473734,1119.7152037316375,863.0544668627336
95.0,991.7731810533804,985.6336403510505,24.271761857590086,1097.1806911412066,797.4494960049675
96.0,977.8145562540924,942.664113073554,24.960064626968077,1070.8399487284155,742.0256157227333
97.0,964.0461148332935,891.8733823876281,25.667883168649475,1037.8776434015815,697.3503270277728
98.0,950.4658010998571,858.7003327760422,26.395770644313114,999.9243697916036,663.3939796071976
99.0,937.071478062913,970.8092989174,27.144295868420002,995.1703986503314,639.6889211826176
100.0,923.8609540072696,901.267700431266,27.91404378187149,982.2507527752306,625.4656538227198
101.0,910.8320025582872,729.0429951690967,28.705615876682593,937.4528737811269,619.763480641908
102.0,897.9823778170456,884.0414154053497,29.5196306958921,925.9649314545155,621.5168180335166
103.0,885.30982576275,979.4918183920182,30.35672428364972,926.0987040408403,629.6201535686889
104.0,872.8120928286481,848.7947856709833,31.217550712290834,909.8728941375123,642.9752550970013
105.0,860.4869323376696,701.0097974250068,32.10278255988379,861.1171863063748,660.5241927744561
106.0,848.3321093173691,837.7837843245528,33.01311146539057,858.6715150808741,681.2713595004894
107.0,836.3454040876097,901.9963874935571,33.94924863588024,862.4149126400083,704.2971722629595
108.0,824.5246149188946,841.1798964385948,34.91192543068936,860.3959193186364,728.7656226706633
109.0,812.8675599869466,778.0707772059341,35.901893900713,850.8728689932398,753.9273773663504
110.0,801.3720787943649,949.4887902450521,36.91992740242036,860.7838582395452,779.1197313802006
111.0,790.0360331887367,940.1391578412009,37.966821171907014,876.1038799727081,803.7643938729242
112.0,778.8573080751826,771.191402311565,39.043392969508496,836.9678766725121,827.3638305299969
113.0,767.8338118975457,830.2929031781947,40.15048369161835,837.2265221153879,849.4966904014692
114.0,756.9634769444375,786.6738686483716,41.288958046524456,830.1758557112238,869.8126966323043
115.0,746.244259522721,804.5589873841554,42.459705207277196,829.0079792262126,888.0272702944352
116.0,735.6741400306934,842.5875674037983,43.663639519394266,832.4498723822355,903.9160757609203
117.0,725.2511229554174,784.7352079965103,44.9017011980875,829.7917875025985,917.3096175966895
118.0,714.9732368127266,721.2439342215754,46.174857068949606,820.615340091632,928.0879770822859
119.0,704.838534043956,658.7769377361282,47.48410131239366,804.3630805386534,936.1757467940596
120.0,694.8450908800479,638.4315296384351,48.83045623890968,787.1488014580002,941.5372007760636
121.0,684.991007181117,683.2416653377559,50.214973084005756,777.6448782706599,944.171723220591
122.0,675.2744062576082,753.4836442321052,51.63873281857623,775.6836490123932,944.1095083855668
123.0,665.6934346777097,685.698911672151,53.10284699940497,766.3045670647275,941.4075373616363
124.0,656.2462620645597,659.7280846328551,54.60845861440882,753.4679313299556,936.1458323232167
125.0,646.9310808859474,663.5747753840698,56.15674299300466,741.638987231085,928.4239853599738
126.0,637.7461062385562,640.0255933708808,57.74890868873534,726.7923434541464,918.3579564561046
127.0,628.6895756283218,663.0937756106471,59.38619845014676,716.3611278456233,906.0771333243421
128.0,619.7597487480998,550.1631101195682,61.0698901481508,685.4699806993601,891.7216444185543
129.0,610.9549072535619,490.27618168078186,62.80129780283046,658.8703939503007,875.4399154054174
130.0,602.2733545380279,576.6676998809235,64.58177256867403,581.6112459207715,857.3864585760193
131.0,593.7134155067747,525.4913612121113,66.41270380764006,552.8883143101457,837.7198840851629
132.0,585.2734363512484,679.8031762667398,68.29552014947411,580.9736297329763,816.6011214640143
133.0,576.9517843235028,567.8084335952582,70.23169060021141,577.9990848712632,794.1918395595408
134.0,568.7468475111255,554.3647557138111,72.22272569201964,573.2969634731293,770.6530528825291
135.0,560.6570346128511,474.41934663666416,74.27017862569087,551.1853671229225,746.1439022879339
136.0,552.680774715025,568.2711274327721,76.37564650986432,553.3795285717741,720.8205979613986
137.0,544.8165170690456,510.8410979690819,78.54077154999914,547.4237050492632,694.8355128265847
138.0,537.06273086989,597.3116236944605,80.76724236927909,551.8662628731352,668.3364147137099
139.0,529.4179050358074,573.9536526269931,83.05679526232369,553.9191679348124,641.4658259352907
140.0,521.8805479892548,481.3880397756795,85.41121558111911,545.4929918850697,614.3604992786559
141.0,514.4491874391293,535.578461330491,87.8323390851293,544.65695402239,587.1509998480342
142.0,507.12237016435074,369.06255942412076,90.3220533630248,518.4159436225734,559.9613826537172
143.0,499.89866179883603,466.2402450098561,92.8822993142679,513.9049159570932,532.908956344906
144.0,492.7766466179034,554.1875332262077,95.51507259476224,516.270945282332,506.1041240103363
145.0,485.7549273261376,524.139671657312,98.22242522629074,516.7837631378419,479.6502925068067
146.0,478.83212484674544,487.22800986627925,101.00646710028437,514.6273565398255,453.6438423295137
147.0,472.00687811242693,470.6241527656102,103.86936767436782,511.24551383269943,428.1741505877397
148.0,465.277843857784,399.23099055919306,106.81335759568327,499.885601947152,403.32366019191176
149.0,458.64369641328733,396.2696982284495,109.84073042704881,489.55516269151644,379.1679888977864
150.0,452.1031275008197,462.2036339362523,112.95384445003467,487.14754668909063,355.7760723727767
151.0,445.6548460308112,524.1694001725355,116.15512439987124,488.58280688002645,333.2103359519778
152.0,439.29757790098176,343.9309127461779,119.44706343017425,471.3362572691691,311.52689023324757
153.0,433.03006579670364,460.24549320430395,122.83222493186032,469.79890848151854,290.7757461213544
154.0,426.85106899299615,452.5132069728717,126.31324456455542,467.8453859713213,271.00104536237757
155.0,420.7593631581628,460.7633902453474,129.89283227514895,466.5582534823573,252.24130302174356
156.0,414.75374015908005,378.70140953146444,133.5737743148672,458.00676896300007,234.5296587365173
157.0,408.83300786814675,387.2054526696029,137.35893548987553,451.26280019585533,217.89413393586173
158.0,402.99598997190066,404.837040703357,141.2512612288172,446.7916198573163,202.35789254701356
159.0,397.24152578130855,356.42290084855296,145.2537799279956,437.53343784333464,187.93950301213982
160.0,391.56847004373583,343.43337705661384,149.36960525642633,427.5520477916197,174.65319972307347
161.0,385.9756927565993,351.8802029421884,153.6019384632003,419.6978744489177,162.50914223285224
162.0,380.46207898270745,377.76485152434975,157.95407096154065,415.13315940487325,151.51367084177036
163.0,375.02652866729005,389.05452163818677,162.42938670352342,411.80406159739385,141.66955736367382
164.0,369.6679564567206,368.758804756564,167.03136483210346,407.09021426580773,132.97625007223525
165.0,364.3852915189318,367.2005562703119,171.76358237736972,402.601723069787,125.43011199868818
166.0,359.17747736552474,334.61285492834327,176.62971684961144,395.2937145274058,119.0246519096256
167.0,354.04347167557233,328.52268463289516,181.63354919608236,387.99082572074076,113.75074742690413
168.0,348.9822461211161,388.08999282592293,186.77896658845344,386.13419874112725,109.59685988138409
169.0,343.9927861943542,342.1072186230006,192.06996534081577,381.05218496348675,106.549240594767
170.0,339.07409103652026,336.2796551750616,197.51065410340436,375.84574932339757,104.59212838528101
171.0,334.2251732684487,365.5081983088261,203.10525680591547,373.28510585938284,103.70793817185864
